OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P04H0001,2004,2004-01-25,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,VALVE ON COOLING BANKS,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0002,2004,2004-01-11,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,NATURAL GAS LIQUIDS,,LEAK DETECTION,MECHANICAL SEAL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0003,2004,2004-02-17,5,ACCIDENT,GAS PROCESSING PLANT -  FIRE/EXPLOSION,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,SULPHUR PLANT LOOK BOX ON UNIT E3A,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0004,2004,2004-02-19,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT NELSON,STATION PROPERTY,BOOSTER STATION 19,COMPRESSOR STATION,WESTCOAST ENERGY (SPECTRA),GAS,YES,CONDENSATE,,PIPELINE EMPLOYEE,PIPING OFF BOOSTER 19,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0005,2004,2004-02-26,5,ACCIDENT,OTHER FACILITY - FIRE/IGNITION/EXPLOSION,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,GENERATOR #1403,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0006,2004,2004-03-08,5,INCIDENT,GAS PROCESSING PLANT - OTHER,BRITISH COLUMBIA,FORT NELSON,STATION PROPERTY,FORT NELSON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,POWER BOILERS,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0007,2004,2004-03-22,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,STATION PROPERTY,KERROBERT PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,NATURAL GAS LIQUIDS,0.013,LEAK DETECTION,SEAL ON UNIT #4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0008,2004,2004-03-11,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,AGRICULTURAL LAND,"36"" MAINLINE PIPELINE",TRANSMISSION LINE,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,MLBV (13-2 VALVE),NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0009,2004,2004-03-19,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,17450,PIPELINE EMPLOYEE,EQUIPMENT FAILURE- FAILED FUSE IN ESD,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0010,2004,2004-03-24,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,5180,PIPELINE EMPLOYEE,LEVEL TRANSMITTER SENSING LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0011,2004,2004-04-07,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,WINDFALL,STATION PROPERTY,WINDFALL COMPRESSOR STATION,COMPRESSOR STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,PRESSURE RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0012,2004,2004-04-15,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,MARGINAL LAND,CACTUS LAKE PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,2,PIPELINE EMPLOYEE,2 INCH NIPPLE ON 36 INCH MLV,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0013,2004,2004-04-22,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,RIGEL,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,CONDENSATE,0.15,PIPELINE EMPLOYEE,RECEIVING TRAP SUMP TANK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
